filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
AriyakudiRamanujaIyengar-Tillana.mp3,0.26871060738051544,0.08944503217935562,1162.1693809326337,938.0955891549038,1934.4549692821208,0.08260985572271672,-281.00329513843946,210.4355707487249,-41.48201899720954,-58.80296923853414,31.388156341682798,17.436064948741308,-39.40401946500575,-11.183943317570444,0.9161727193158199,-25.017934832284393,-27.155191591785282,1.6337829068989198,6.835465046535114,-1.5118799437852097,-2.945845367690158,3.080937356679206,-7.579445130456671,-2.9744680193041257,-1.8778290708494416,-1.4192592637638641,todi
O.S.Thyagarajan-R.T.P-thodi.mp3,0.2702285455458637,0.22052119672298431,1694.7863027618992,1611.394057766054,3232.5804530282508,0.08667105565499227,-105.16231647057583,117.20155776096681,-65.93282440396321,25.49996069419871,-31.94923028699815,4.212151344889601,-33.73147648049461,-15.570674633263566,-22.910566347323563,-11.069256566127406,-5.858333295826644,-2.9496463420562034,-5.642573566388434,-1.5533878473130402,-6.911158961180451,-1.964482100792879,-14.956536297823273,7.682885335814238,-6.139875467928001,-10.77340057252002,todi
T.M.Krishna-VazhiMaraittirukkude.mp3,0.22223925912522963,0.0290936678647995,1901.175702055121,2012.8477638308434,3806.5436490179954,0.08188310274767802,-306.0937605895855,96.44829427184929,-32.288205858275106,33.73785476135396,-6.809769568192923,-4.152500195267318,-1.5339194555704605,-3.815791326173949,-0.8752031137748894,8.956639966432842,-7.651003572623503,-0.03153676215793646,-5.50832057024505,-13.353211449381023,2.092080488013404,2.1972006596822724,-4.81161802868066,6.811631327177295,-5.988690493583727,0.08566182799957249,todi
AbhishekRaghuram-KaddanuVariki.mp3,0.2939674225474683,0.03295375779271126,1514.6364643515274,1827.8722741230702,2736.21678780476,0.08422398050503097,-298.19865805123675,122.41594103250816,-20.314159457951614,11.315837821181242,4.979271593607731,11.11775413180525,-8.662339615800846,-0.5149263191672115,-5.493956538048488,-1.1925829881629992,-7.81194600841898,-4.480034656922908,2.108347334930293,4.114902052060901,-5.145811902413882,3.1160824072556816,3.825321829063963,6.324935658353176,0.9541246326155255,11.754860976037966,todi
Unnikrishnan-Dasukovalena.mp3,0.34913854490774343,0.09279696643352509,2043.8326958761718,1878.9293821212318,3586.9116437693497,0.12110848913989938,-212.70909060364434,87.43857053159164,-62.0626827903939,3.975086423595924,-11.144193281062353,-15.362099651380575,-15.763637649391692,-20.072036019581244,-16.65059541148656,-6.0093161401963595,-10.40332868651834,-1.7328163318031953,-6.8684896629697745,-15.749095594438216,-11.423182302302347,-6.367965740528022,-13.765091445986434,-2.7252616719659764,-4.607996798415937,-2.3681713817463357,todi
SanjaySubrahmanyan-RTPNelataMaruluKontini.mp3,0.26754225176825597,0.04705723002552986,1900.4454153609238,2084.330323675073,3855.2850209522544,0.088623046875,-254.80294889901737,94.96942729083125,-23.456629909316796,26.832465104064347,-0.7575967267086295,11.7262032226794,-5.596136142306463,-3.6978952421632783,-5.109326580382967,-2.633774490435076,-4.959735340479837,7.140779813592386,-5.4342471807745545,4.25136121956674,-2.0308663788387613,-0.3007359953247423,-1.2981159310099384,-0.25184929294343084,-3.656592436153869,0.8749406440854396,todi
GayathriVenkataraghavan-Koluvamaragada.mp3,0.2352914849207405,0.06719633936882019,2110.861663979946,2103.453327871913,4087.8586146115517,0.11088859628966719,-251.8244586931992,73.86349774669188,-29.438319118604042,30.147659719010846,-11.429206158990205,-11.918444611685748,-10.318645268693245,-19.869595315754026,-5.918490109029292,-0.3756357045637953,-16.224623397514243,6.071064890653568,-14.82281497090076,4.9804227962648575,-5.883744552202762,-8.450204631313364,0.8678678630647043,-3.0413017819985346,-0.3255198990976317,-9.113501573755817,todi
NithyasreeMahadevan-SriVenkatesam.mp3,0.249920098657894,0.022055678069591522,1683.0446471576806,1918.507261967379,3372.654606019011,0.07161067809113777,-341.3600674719987,114.79756260451434,-19.436436264167842,34.19484221699495,-1.213778722881175,-4.470279036212976,0.5218366066064093,-12.303419844032394,-2.432454876044792,-3.5960427597680886,-14.182617043891629,5.433333756474534,-10.639850258165978,5.5319676286927315,-2.962501537185627,0.9530623834300267,-1.3035520683311073,-0.9282997059743983,-10.329245121622566,2.262459856533044,todi
NishaPRajagopal-NinneNammiNaanu.mp3,0.23313430626432236,0.04578188434243202,1737.4477806468803,1790.5204227681113,3447.2374883598586,0.07796816043440402,-310.5854216519844,100.0586832086272,-46.47269420699333,16.95080349196273,-17.54316711294349,-22.24092789113173,-1.6995330475419335,-26.714683184427862,-11.498182608931241,9.918403306669688,-11.842410387890611,2.248756991067488,-14.559645066667702,0.4264786830598336,1.7081165389870745,-10.228380077832822,-0.057083323149751335,0.20768025507049442,-10.130947004529734,-3.975226620924713,todi
S.Sowmya-Jesinadella.mp3,0.25775617616659974,0.11970148235559464,1367.0723427636217,1665.7312551338339,2308.561040447223,0.056672748766447366,-254.7377579720311,133.24552812824626,-31.720875899925694,-11.81373547984473,12.680126163745799,-37.384574183868715,-3.316604226030165,-15.781024962999837,-8.587970575359087,9.898784863638385,-16.438572024334494,-0.4760926958531723,-1.9147028377513065,-0.45359064166465424,-6.126574202544848,-7.035595777897833,-2.0452489896498034,-2.4383676711488262,-7.6955240588563765,-5.26472843970563,todi
